metric,value
reviews,129971.0
points_min,80.0
points_mean,88.45
share_84_92,85.7
avg_$10,85.3
avg_$100,91.9
r_points_logprice,0.61
vintage_pts_per_decade,0.09
reviewer_min,86.9
reviewer_max,90.0
